PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_RS_TIER,COMPOSITE_TIER_SCORE,MIN_RS,MIN_PO,GP_RS,GP_PO,FGA_PO,reliability_factor,PTS_RS,PTS_PO,PTS_change,PTS_z,PTS_impact,TS_PCT_RS,TS_PCT_PO,TS_PCT_change,TS_PCT_z,TS_PCT_impact,AST_RS,AST_PO,AST_change,AST_z,AST_impact,PCT_TOV_RS,PCT_TOV_PO,PCT_TOV_change,PCT_TOV_z,PCT_TOV_impact,REB_RS,REB_PO,REB_change,REB_z,REB_impact,STL_RS,STL_PO,STL_change,STL_z,STL_impact,BLK_RS,BLK_PO,BLK_change,BLK_z,BLK_impact,total_impact_score,rank
1631128,Christian Braun,DEN,Tier4,15.78,33.9,38.9,79,14,10.6,1.0,15.4,12.6,-2.8,-1.019,-0.4077,0.665,0.548,-0.117,-1.076,-0.2153,2.6,2.4,-0.2,0.232,0.0324,0.11,0.085,0.025,0.479,0.0192,5.2,6.4,1.2,0.91,0.091,1.1,1.2,0.1,0.581,0.0145,0.5,0.7,0.2,0.708,0.0177,-0.4481,51
1626181,Norman Powell,LAC,Tier3,18.055,32.6,34.0,60,7,12.7,0.64,21.8,16.0,-5.8,-1.799,-0.4605,0.615,0.578,-0.037,0.0,0.0,2.1,2.4,0.3,0.779,0.096,0.181,0.197,-0.016,-0.534,-0.0171,3.2,2.4,-0.8,-1.074,-0.0859,1.2,1.1,-0.1,0.0,0.0,0.2,0.3,0.1,0.0,0.0,-0.4675,52
1628991,Jaren Jackson Jr.,MEM,Tier3,18.35,29.8,34.2,74,4,14.5,0.39,22.2,16.0,-6.2,-1.921,-0.2996,0.591,0.479,-0.112,-1.401,-0.1093,2.0,1.5,-0.5,-0.211,-0.0144,0.22,0.22,-0.0,-0.291,-0.0057,5.6,5.0,-0.6,-0.712,-0.0347,1.2,1.0,-0.2,-0.306,-0.003,1.5,0.5,-1.0,-2.5,-0.0244,-0.491,53
1630559,Austin Reaves,LAL,Tier3,18.385,34.9,39.3,73,5,14.6,0.54,20.2,16.2,-4.0,-1.244,-0.2686,0.616,0.532,-0.084,-0.789,-0.0852,5.8,3.6,-2.2,-1.806,-0.1707,0.247,0.23,0.017,0.0,0.0,4.5,5.4,0.9,0.583,0.0433,1.1,0.2,-0.9,-2.481,-0.0335,0.3,0.6,0.3,0.953,0.0129,-0.5019,54
1630217,Desmond Bane,ORL,Tier3,17.84,32.0,34.8,69,4,15.8,0.4,19.2,15.3,-3.9,-1.248,-0.1997,0.6,0.438,-0.162,-2.197,-0.2285,5.3,3.3,-2.0,-1.625,-0.1138,0.242,0.242,-0.0,-0.341,-0.0068,6.1,6.8,0.7,0.518,0.0285,1.2,0.8,-0.4,-0.919,-0.0092,0.4,0.5,0.1,0.186,0.0019,-0.5276,55
1628404,Josh Hart,NYK,Tier4,15.825,37.6,35.7,77,18,8.0,1.0,13.6,11.6,-2.0,-0.815,-0.3259,0.611,0.599,-0.012,0.401,0.0449,5.9,4.4,-1.5,-0.938,-0.1642,0.201,0.194,0.007,-0.102,-0.0051,9.6,8.8,-0.8,-0.597,-0.0746,1.5,1.1,-0.4,-0.826,-0.0206,0.4,0.6,0.2,0.616,0.0154,-0.5303,56
203110,Draymond Green,GSW,Tier4,12.155,29.2,32.4,68,12,9.0,0.97,9.0,9.1,0.1,-0.274,-0.1062,0.534,0.479,-0.055,-0.752,-0.1459,5.6,3.8,-1.8,-1.343,-0.228,0.293,0.31,-0.017,-0.81,-0.0393,6.1,5.5,-0.6,-0.674,-0.0818,1.5,1.4,-0.1,0.093,0.0023,1.0,0.9,-0.1,-0.118,-0.0029,-0.6018,57
1626157,Karl-Anthony Towns,NYK,Tier1,21.195,35.0,35.5,72,18,15.8,1.0,24.4,21.4,-3.0,-0.737,-0.2947,0.63,0.589,-0.041,0.015,0.004,3.1,1.3,-1.8,-1.66,-0.3777,0.29,0.223,0.067,0.939,0.061,12.8,11.6,-1.2,-0.726,-0.0635,1.0,0.7,-0.3,-0.674,-0.0169,0.7,0.7,0.0,0.034,0.0008,-0.6869,58
1630224,Jalen Green,HOU,Tier3,17.48,32.9,31.3,82,7,12.3,0.6,21.0,13.3,-7.7,-2.482,-0.7744,0.544,0.482,-0.062,-0.815,-0.0978,3.4,2.9,-0.5,-0.033,-0.0035,0.264,0.182,0.082,1.309,0.0432,4.6,5.4,0.8,0.498,0.0411,0.9,0.6,-0.3,-0.706,-0.0106,0.3,0.3,0.0,-0.337,-0.0051,-0.807,59
1629639,Tyler Herro,MIA,Tier2,20.155,35.4,36.0,77,4,16.3,0.46,23.9,17.8,-6.1,-1.82,-0.4353,0.605,0.512,-0.093,-1.002,-0.0922,5.5,2.8,-2.7,-2.456,-0.257,0.26,0.209,0.051,0.675,0.0186,5.2,3.5,-1.7,-1.751,-0.1309,0.9,0.5,-0.4,-1.012,-0.0116,0.2,0.0,-0.2,-1.29,-0.0148,-0.9232,60
1629008,Michael Porter Jr.,DEN,Tier4,16.845,33.7,31.1,77,14,8.6,1.0,18.2,9.1,-9.1,-2.5,-1.0,0.617,0.507,-0.11,-1.223,-0.2447,2.1,0.6,-1.5,-1.42,-0.2486,0.138,0.102,0.036,0.643,0.0257,7.0,5.5,-1.5,-1.433,-0.1792,0.6,0.6,0.0,0.12,0.003,0.5,0.4,-0.1,-0.582,-0.0145,-1.6582,61
